cbor_parser_init at cborparser.c:336:11 in cbor.h, cbor_value_is_array at cbor.h:565:22 in cbor.h, cbor_value_is_byte_string at cbor.h:468:22 in cbor.h, cbor_value_is_text_string at cbor.h:470:22 in cbor.h, cbor_value_is_byte_string at cbor.h:468:22 in cbor.h, cbor_value_begin_string_iteration at cbor.h:533:27 in cbor.h, cbor_value_is_byte_string at cbor.h:468:22 in cbor.h, cbor_value_get_string_length at cbor.h:473:27 in cbor.h, cbor_value_copy_byte_string at cbor.h:499:27 in cbor.h, cbor_value_copy_byte_string at cbor.h:499:27 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_type at cbor.h:381:26 in cbor.h, cbor_value_get_string_length at cbor.h:473:27 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_next_byte at cbor.h:362:32 in cbor.h, cbor_value_is_text_string at cbor.h:470:22 in cbor.h, cbor_value_begin_string_iteration at cbor.h:533:27 in cbor.h, cbor_value_is_byte_string at cbor.h:468:22 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_type at cbor.h:381:26 in cbor.h, cbor_value_get_string_length at cbor.h:473:27 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_next_byte at cbor.h:362:32 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_type at cbor.h:381:26 in cbor.h, cbor_value_at_end at cbor.h:360:22 in cbor.h, cbor_value_get_next_byte at cbor.h:362:32 in cbor.h
2026-08-12T03:44:18.463540+0000 | MainThread SUCCESS | src.generator.worker:san_success:205 | Fuzz driver 1 has been successfully generated and sanitized, saved to /promefuzz/database/tinycbor/latest/out/fuzz_driver
2026-08-12T03:44:18.463947+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-12T03:44:18.473624+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 2, remaining rounds: 1
2026-08-12T03:44:33.798815+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 2
2026-08-12T03:44:33.808911+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 2, remaining rounds: 4
2026-08-12T03:44:34.198093+0000 | MainThread INFO | src.generator.sanitizer:sanitize:178 | ASan error detected in fuzz driver 2, fixing...
2026-08-12T03:44:48.272368+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 2, remaining rounds: 3
2026-08-12T03:44:48.663511+0000 | MainThread INFO | src.generator.sanitizer:sanitize:178 | ASan error detected in fuzz driver 2, fixing...
2026-08-12T03:45:02.950921+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 2, remaining rounds: 2
