INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3539945939
INFO: Loaded 1 modules   (968 inline 8-bit counters): 968 [0x5e8cc57128f8, 0x5e8cc5712cc0), 
INFO: Loaded 1 PC tables (968 PCs): 968 [0x5e8cc5712cc0,0x5e8cc5716940), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED cov: 50 ft: 51 corp: 1/1b exec/s: 0 rss: 32Mb
#3116	NEW    cov: 120 ft: 367 corp: 44/341b lim: 14 exec/s: 0 rss: 60Mb L: 13/14 MS: 3 EraseBytes-ChangeBit-CrossOver-
#3260	NEW    cov: 120 ft: 368 corp: 45/350b lim: 14 exec/s: 0 rss: 61Mb L: 9/14 MS: 4 CrossOver-EraseBytes-CrossOver-InsertByte-
#3362	NEW    cov: 120 ft: 369 corp: 46/359b lim: 14 exec/s: 0 rss: 62Mb L: 9/14 MS: 2 ChangeByte-ChangeBit-
#3675	REDUCE cov: 120 ft: 369 corp: 46/358b lim: 17 exec/s: 0 rss: 65Mb L: 12/14 MS: 3 CrossOver-CrossOver-ChangeBit-
#3685	NEW    cov: 120 ft: 375 corp: 47/375b lim: 17 exec/s: 0 rss: 65Mb L: 17/17 MS: 5 ShuffleBytes-ChangeBit-EraseBytes-CopyPart-PersAutoDict- DE: "\000\000\000\377"-
#3697	NEW    cov: 120 ft: 382 corp: 48/391b lim: 17 exec/s: 0 rss: 65Mb L: 16/17 MS: 2 ChangeBinInt-InsertRepeatedBytes-
#4170	REDUCE cov: 120 ft: 382 corp: 48/390b lim: 21 exec/s: 0 rss: 69Mb L: 10/17 MS: 3 ChangeByte-ChangeBinInt-EraseBytes-
#4515	NEW    cov: 124 ft: 386 corp: 49/411b lim: 21 exec/s: 0 rss: 71Mb L: 21/21 MS: 5 InsertByte-ChangeByte-ShuffleBytes-CopyPart-InsertRepeatedBytes-
#4579	REDUCE cov: 124 ft: 387 corp: 50/428b lim: 21 exec/s: 0 rss: 72Mb L: 17/21 MS: 4 ChangeBit-InsertByte-ChangeBinInt-InsertRepeatedBytes-
#4641	REDUCE cov: 124 ft: 387 corp: 50/427b lim: 21 exec/s: 0 rss: 72Mb L: 5/21 MS: 2 EraseBytes-ShuffleBytes-
#5061	NEW    cov: 124 ft: 395 corp: 51/450b lim: 25 exec/s: 0 rss: 75Mb L: 23/23 MS: 5 ChangeByte-CrossOver-InsertRepeatedBytes-ChangeBit-CrossOver-
#5151	REDUCE cov: 124 ft: 401 corp: 52/475b lim: 25 exec/s: 0 rss: 76Mb L: 25/25 MS: 5 CrossOver-PersAutoDict-ChangeBit-ChangeBit-CopyPart- DE: "\000\000\000\377"-
#5369	NEW    cov: 124 ft: 405 corp: 53/499b lim: 25 exec/s: 0 rss: 78Mb L: 24/25 MS: 3 InsertByte-ChangeBinInt-ChangeASCIIInt-
#5417	REDUCE cov: 124 ft: 405 corp: 53/496b lim: 25 exec/s: 0 rss: 78Mb L: 18/25 MS: 3 ShuffleBytes-CopyPart-EraseBytes-
#5421	NEW    cov: 124 ft: 406 corp: 54/521b lim: 25 exec/s: 0 rss: 78Mb L: 25/25 MS: 4 ShuffleBytes-CrossOver-ChangeBinInt-InsertRepeatedBytes-
#5558	REDUCE cov: 124 ft: 406 corp: 54/520b lim: 25 exec/s: 0 rss: 80Mb L: 24/25 MS: 2 PersAutoDict-EraseBytes- DE: "\000\000\000\000"-
	NEW_FUNC[1/1]: 0x5e8cc56c9d60 in case_insensitive_strcmp /promefuzz/database/cjson/latest/code/cJSON.c:134
#5829	NEW    cov: 128 ft: 410 corp: 55/543b lim: 25 exec/s: 0 rss: 82Mb L: 23/25 MS: 1 CopyPart-
#6115	REDUCE cov: 128 ft: 410 corp: 55/542b lim: 25 exec/s: 0 rss: 84Mb L: 5/25 MS: 1 EraseBytes-
#6303	REDUCE cov: 128 ft: 410 corp: 55/541b lim: 25 exec/s: 0 rss: 85Mb L: 23/25 MS: 3 ShuffleBytes-EraseBytes-ChangeByte-
#6671	NEW    cov: 135 ft: 420 corp: 56/563b lim: 25 exec/s: 0 rss: 88Mb L: 22/25 MS: 3 CopyPart-ChangeBinInt-ChangeBit-
#7092	NEW    cov: 135 ft: 433 corp: 57/585b lim: 29 exec/s: 0 rss: 92Mb L: 22/25 MS: 1 CrossOver-
#7264	NEW    cov: 136 ft: 434 corp: 58/612b lim: 29 exec/s: 0 rss: 93Mb L: 27/27 MS: 2 ChangeBinInt-InsertRepeatedBytes-
#7308	REDUCE cov: 136 ft: 435 corp: 59/641b lim: 29 exec/s: 0 rss: 93Mb L: 29/29 MS: 4 ChangeBinInt-InsertRepeatedBytes-ShuffleBytes-ChangeByte-
#7329	REDUCE cov: 136 ft: 435 corp: 59/640b lim: 29 exec/s: 0 rss: 94Mb L: 9/29 MS: 1 EraseBytes-
