2026-08-14T20:22:05.464169+0000 | MainThread INFO | __main__:setup_logger:65 | Logger set up with level INFO, log will be saved to logs/20260814202205_._PromeFuzz.py_-F_database_cjson_latest_lib.toml_generate_--pool-size_1.log
2026-08-14T20:22:05.485667+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-14T20:22:17.090575+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-14T20:22:17.113505+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-14T20:22:28.101868+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-14T20:22:28.106889+0000 | MainThread INFO | src.generator.worker:restore:362 | Resuming generation state from Fri Aug 14 20:22:28 2026. Last generated fuzz driver 0, last scheduled function set 0
2026-08-14T20:22:28.107467+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-14T20:22:28.114457+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 1, remaining rounds: 1
2026-08-14T20:22:48.024323+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 1
2026-08-14T20:22:48.031720+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 1, remaining rounds: 4
2026-08-14T20:22:49.204788+0000 | MainThread INFO | src.generator.sanitizer:sanitize:156 | Sanitization of fuzz driver 1 succeeded
2026-08-14T20:22:49.240173+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: make_key at /promefuzz/database/cjson/latest/out/tmp/postprocessing/postprocessing_1.c:26:14
2026-08-14T20:22:49.240590+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: make_key at /promefuzz/database/cjson/latest/out/tmp/postprocessing/postprocessing_1.c:26:14
2026-08-14T20:22:49.240946+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: make_key at /promefuzz/database/cjson/latest/out/tmp/postprocessing/postprocessing_1.c:26:14
